app_id,genres,player_support,indie
589860,Adventure,Singleplayer,True
604240,Action,Multiplayer,True
605920,Action,Singleplayer,True
613230,Adventure,Singleplayer,False
617160,Action,Multiplayer,True
645500,Simulation,Singleplayer,True
684050,,Singleplayer,False
704300,Simulation,Singleplayer,True
736580,,Singleplayer,False
744680,RPG,Singleplayer,False
749840,Adventure,Singleplayer,True
786990,Strategy,Singleplayer,True
801980,Action,Singleplayer,True
2277010,,Singleplayer,False
803600,Action,Singleplayer,False
824720,Simulation,Multiplayer,False
834760,Action,Singleplayer,True
850450,Adventure,Multiplayer,False
1600150,,Singleplayer,False
1568680,Action,Singleplayer,False
55100,Action,Multiplayer,False
208292,Simulation,Singleplayer,False
221910,Adventure,Singleplayer,True
222573,,Singleplayer,False
260690,Adventure,Singleplayer,False
267780,RPG,Singleplayer,True
287900,Simulation,Singleplayer,False
292800,Adventure,Singleplayer,False
296470,Sports,Multiplayer,True
343370,RPG,Singleplayer,True
350640,Action,Multiplayer,False
353850,Action,Singleplayer,True
358190,Action,Singleplayer,False
358220,Action,Singleplayer,False
929480,Action,Singleplayer,False
319810,Action,Singleplayer,False
360650,Adventure,Singleplayer,False
365380,RPG,Singleplayer,True
215100,Adventure,Multiplayer,False
6040,Adventure,Singleplayer,False
3920,Action,Singleplayer,False
15920,,Singleplayer,False
25010,Action,Singleplayer,True
31900,Adventure,Singleplayer,False
31220,Action,Singleplayer,False
206690,Strategy,Singleplayer,True
213350,Action,Singleplayer,False
65270,Simulation,Multiplayer,False
224960,Action,Singleplayer,False
65600,Action,Singleplayer,False
33180,Action,Singleplayer,True
246300,Action,Singleplayer,True
914890,Adventure,Singleplayer,True
920567,Action,Singleplayer,False
971690,Action,Singleplayer,False
984470,Simulation,Singleplayer,True
998790,,Singleplayer,True
1016770,,Singleplayer,False
1046230,Sports,Singleplayer,True
1054340,Simulation,Multiplayer,True
1072480,Adventure,Multiplayer,False
1087760,Action,Singleplayer,False
1096410,Adventure,Singleplayer,True
1101930,Adventure,Singleplayer,True
1109050,Action,Singleplayer,False
1796170,Adventure,Singleplayer,True
793450,Adventure,Singleplayer,True
815150,Adventure,Singleplayer,True
843430,Action,Singleplayer,True
846800,Action,Multiplayer,True
961490,Action,Singleplayer,False
382210,Strategy,Singleplayer,False
848500,Action,Singleplayer,False
853480,Simulation,Singleplayer,False
891170,Action,Singleplayer,True
917150,RPG,Singleplayer,True
917190,Action,Singleplayer,True
929100,Action,Singleplayer,False
931000,Action,Singleplayer,True
976920,Adventure,Singleplayer,True
987270,RPG,Singleplayer,False
992050,,Singleplayer,True
1011900,Adventure,Singleplayer,True
1086481,Strategy,Singleplayer,False
1536700,,Singleplayer,False
215004,Strategy,Singleplayer,False
919640,,Singleplayer,False
774791,Action,Multiplayer,False
783120,Adventure,Singleplayer,False
818960,Action,Singleplayer,True
820540,Action,Singleplayer,False
837861,Action,Singleplayer,True
896640,Adventure,Singleplayer,True
933610,Simulation,Multiplayer,True
933940,,Singleplayer,True
946780,Action,Singleplayer,True
958320,Action,Singleplayer,True
959410,Adventure,Singleplayer,True
962630,Adventure,Singleplayer,False
971070,Adventure,Singleplayer,False
976900,Simulation,Multiplayer,True
1015480,Sports,Singleplayer,True
1032430,Action,Multiplayer,False
1036760,Strategy,Singleplayer,True
1038280,Adventure,Singleplayer,True
939790,Adventure,Singleplayer,True
856210,Action,Singleplayer,True
868420,Action,Singleplayer,False
885440,,Singleplayer,True
888850,Action,Singleplayer,False
895600,RPG,Singleplayer,True
938220,Action,Singleplayer,False
938490,Strategy,Singleplayer,True
964230,Action,Singleplayer,True
994910,Strategy,Multiplayer,False
996450,Adventure,Singleplayer,True
1054700,Action,Singleplayer,True
1054990,Action,Singleplayer,False
1761570,Action,Multiplayer,False
1081870,Action,Singleplayer,False
1124080,Action,Singleplayer,True
1151930,,Multiplayer,True
958210,,Singleplayer,False
829280,Action,Singleplayer,True
847290,Adventure,Singleplayer,True
848930,,Singleplayer,True
853380,Action,Singleplayer,True
861090,Action,Singleplayer,False
861880,Simulation,Singleplayer,False
905450,Sports,Multiplayer,False
916060,Adventure,Singleplayer,False
949290,Strategy,Singleplayer,False
992172,Action,Singleplayer,False
1012560,Action,Multiplayer,True
1013910,Action,Singleplayer,True
1045010,Action,Singleplayer,True
1048580,Sports,Singleplayer,True
1053250,,Singleplayer,True
1066430,Action,Singleplayer,True
1071130,Action,Singleplayer,True
1087451,Action,Singleplayer,False
1092630,Action,Multiplayer,True
1099170,Action,Multiplayer,True
1112340,Adventure,Singleplayer,True
1112790,Strategy,Singleplayer,True
1189680,,Singleplayer,True
1203510,Simulation,Singleplayer,False
1232520,Action,Singleplayer,True
1233260,Action,Multiplayer,False
1241275,Action,Singleplayer,False
1250250,Action,Multiplayer,False
1273690,Adventure,Singleplayer,True
1285020,,Multiplayer,True
1287530,Strategy,Singleplayer,True
1310990,Action,Singleplayer,True
1325800,Strategy,Multiplayer,True
1326000,Simulation,Singleplayer,False
1415140,,Singleplayer,True
